scenario,beacons,trial,target_x,target_y,estimate_x,estimate_y,error,beacon_position_rmse,beacon_yaw_rmse,cost,iterations,runtime_ms,solver_converged,success
1,2,66,1.20000000,-0.75000000,1.20483072,-0.75053294,0.00486003,0.00425308,0.00052264,307.22067103,4,2.50200000,1,1
1,2,67,1.20000000,-0.75000000,1.19717684,-0.74960897,0.00285012,0.00106991,0.00081964,314.39281845,4,2.58000000,1,1
1,2,68,1.20000000,-0.75000000,1.19907482,-0.74745490,0.00270804,0.00128816,0.00035641,329.29810639,80,35.57100000,0,1
1,2,69,1.20000000,-0.75000000,1.20021461,-0.74812743,0.00188483,0.00122204,0.00076922,317.13427149,4,2.49700000,1,1
1,2,70,1.20000000,-0.75000000,1.20220463,-0.74983969,0.00221045,0.00327769,0.00088549,312.31616219,4,2.52100000,1,1
1,2,71,1.20000000,-0.75000000,1.20063521,-0.74841603,0.00170659,0.00247647,0.00057526,282.01807169,4,2.50800000,1,1
1,2,72,1.20000000,-0.75000000,1.19892842,-0.74716745,0.00302847,0.00209780,0.00061348,315.49670322,4,2.50700000,1,1
1,2,73,1.20000000,-0.75000000,1.19688307,-0.75266795,0.00410283,0.00266325,0.00084257,309.29565315,4,2.48200000,1,1
1,2,74,1.20000000,-0.75000000,1.20390672,-0.75112042,0.00406422,0.00163557,0.00088045,295.24782485,4,2.47400000,1,1
1,2,75,1.20000000,-0.75000000,1.19910794,-0.75343343,0.00354742,0.00229430,0.00096975,299.16706713,4,2.46500000,1,1
1,2,76,1.20000000,-0.75000000,1.20093784,-0.74841944,0.00183785,0.00166217,0.00100818,308.35562293,4,2.48900000,1,1
1,2,77,1.20000000,-0.75000000,1.20360544,-0.75019227,0.00361057,0.00238364,0.00079924,303.97072498,4,2.48200000,1,1
1,2,78,1.20000000,-0.75000000,1.20244519,-0.75037067,0.00247312,0.00230715,0.00118472,317.67658588,4,2.53100000,1,1
1,2,79,1.20000000,-0.75000000,1.20359286,-0.75034984,0.00360985,0.00185938,0.00059709,330.50113512,4,2.66400000,1,1
1,2,80,1.20000000,-0.75000000,1.19561721,-0.75396406,0.00590954,0.00283633,0.00161699,296.22002107,4,3.46700000,1,1
1,2,81,1.20000000,-0.75000000,1.20077064,-0.75412879,0.00420010,0.00434018,0.00174977,347.49985250,4,2.99600000,1,1
1,2,82,1.20000000,-0.75000000,1.19672545,-0.75218072,0.00393424,0.00381614,0.00117524,300.38108962,4,2.68400000,1,1
1,2,83,1.20000000,-0.75000000,1.20222201,-0.74852860,0.00266503,0.00136095,0.00086186,358.29988491,4,2.52400000,1,1
1,2,84,1.20000000,-0.75000000,1.20589844,-0.74987160,0.00589984,0.00154955,0.00071894,319.33909693,4,2.48900000,1,1
1,2,85,1.20000000,-0.75000000,1.19960740,-0.75112331,0.00118994,0.00042299,0.00040849,355.78521505,4,2.49000000,1,1
1,2,86,1.20000000,-0.75000000,1.20113870,-0.74726072,0.00296652,0.00273837,0.00074342,326.89191385,4,2.50600000,1,1
1,2,87,1.20000000,-0.75000000,1.19699161,-0.75113728,0.00321618,0.00221477,0.00054957,330.82587913,4,2.48700000,1,1
1,2,88,1.20000000,-0.75000000,1.20342012,-0.74805207,0.00393594,0.00231348,0.00017409,303.48098906,4,2.50300000,1,1
1,2,89,1.20000000,-0.75000000,1.19696588,-0.74653414,0.00460630,0.00165398,0.00076123,305.99608960,5,2.93400000,1,1
1,2,90,1.20000000,-0.75000000,1.20164166,-0.74530332,0.00497533,0.00180043,0.00044609,287.00126207,4,2.47300000,1,1
1,2,91,1.20000000,-0.75000000,1.19864298,-0.75179264,0.00224834,0.00236466,0.00096534,308.29050327,4,2.47600000,1,1
1,2,92,1.20000000,-0.75000000,1.19923685,-0.75343955,0.00352319,0.00218752,0.00060296,336.89724995,4,2.48400000,1,1
1,2,93,1.20000000,-0.75000000,1.20256619,-0.74656527,0.00428751,0.00164035,0.00047346,295.33342957,4,2.48200000,1,1
1,2,94,1.20000000,-0.75000000,1.19927581,-0.75130806,0.00149514,0.00196232,0.00044704,311.27252288,4,2.54200000,1,1
1,2,95,1.20000000,-0.75000000,1.20069878,-0.75425064,0.00430770,0.00355537,0.00205535,297.09500926,4,2.51300000,1,1
1,2,96,1.20000000,-0.75000000,1.20640486,-0.75348166,0.00729001,0.00376485,0.00033423,308.21852088,4,2.51300000,1,1
1,2,97,1.20000000,-0.75000000,1.20111475,-0.74797238,0.00231385,0.00320008,0.00111779,309.68468589,4,2.48200000,1,1
1,2,98,1.20000000,-0.75000000,1.20011578,-0.74971132,0.00031103,0.00196827,0.00038120,323.86993107,4,2.46800000,1,1
1,2,99,1.20000000,-0.75000000,1.19850346,-0.75351346,0.00381891,0.00227187,0.00103914,309.62530644,17,7.28900000,1,1
